,Text,Label
153,"Labour targets 'hardcore truants'
 
 A fresh crackdown on persistent truants in England has been launched by Education Secretary Ruth Kelly.
 
 Serial truants make up one in 13 pupils. Previous initiatives brought 40,000 pupils back to school since 1997, according to official statistics. Parenting contracts, penalty notices and ""fast track"" prosecution systems have been used to tackle what has been a stubborn problem. It is thought that nearly half a million children skip school each day. Tories say Labour's previous success regarding the issue came because it tackled the easy part of the problem by reducing authorised absence, where parents are permitted to take children out of school. Such absences are often due to family holidays.
 
 However, serial truants avoid the classroom despite government schemes costing Â£885m. Those missing classes are more likely to become involved in crime as well as failing academically. Measures such as parenting contracts and penalty notices were adopted by most local education authorities last term and come into force in the remainder this term. In one local education authority alone 800 parents were warned they would receive a penalty notice unless their child's attendance improved. The tough stance paid off with just 24 issued, while attendance improved in 776 cases. Truancy has been reduced by 5% at the 128 worst hit schools through the government's Behaviour Improvement Programme. This is the equivalent of 200 pupils back in classes since September.
 
 The new measures come on top of national truancy sweeps - the sixth of which will take place on Monday. Police and education welfare officers patrol problem hotspots picking up truants and returning them to school. Held twice each year, in addition to routine local patrols, previous country-wide sweeps have apprehended 31,000 pupils dodging school. In almost 14,000 of those cases, the youngsters were accompanied by their parents. A Department for Education and Skills source said: ""Every day in school counts. ""It is clear form these figures that schools and local education authorities are now seizing the tools we have given them to improve school attendance and crack down hard on the very small numbers of pupils which account for almost half of the nation's truancy.""
",0
1373,"Pop band Busted to 'take a break'
 
 Chart-topping pop band Busted have confirmed that they plan to ""take a break"", following rumours that they were on the verge of splitting.
 
 A statement from the band's record company Universal said frontman Charlie Simpson planned to spend some time working with his other band, Fightstar. However they said that Busted would ""reconvene in due course"". The band have had eight top three hits, including four number ones, since they first hit the charts in 2002. Their singles include What I Go To School For, Year 3000, Crashed The Wedding, You Said No, and Who's David?
 
 The band, which also includes members Matt Jay and James Bourne, made the top ten with their self-titled debut album, as well as the follow-up, A Present For Everyone, in 2003. They won best pop act and best breakthrough act at the 2004 Brit Awards and were nominated for best British group. Most recently they topped the charts with the theme from the live-action film version of Thunderbirds, which was voted Record Of The Year on the ITV1 show. The band have capitalised on a craze for artists playing catchy pop music with rock overtones. The trio are seen as an alternative to more manufactured artists who are not considered credible musicians because they do not write their own songs or play their own instruments. However, recent rumours have suggested that Simpson has been wanting to quit the band to focus on Fightstar. He now plans to take Fightstar on tour.
",3
2072,"Parmalat boasts doubled profits
 
 Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.
 
 Its pre-tax earnings in the fourth quarter were 77m euros (Â£53m; $100m), up from 38m in the same period of 2003. Less welcome was the news that the firm had been fined 11m euros for having violated takeover rules five years ago. The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts. Overall, the company's debt is close to 12bn euros, and is falling only slowly. Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.
 
 But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position. On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal. That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros. The company has also sued former auditors and financial advisors for damages. And criminal cases against the company's former management are proceeding separately.
",4
1841,"US economy shows solid GDP growth
 
 The US economy has grown more than expected, expanding at an annual rate of 3.8% in the last quarter of 2004.
 
 The gross domestic product figure was ahead of the 3.1% the government estimated a month ago. The rise reflects stronger spending by businesses on capital equipment and a smaller-than-expected trade deficit. GDP is a measure of a country's economic health, reflecting the value of the goods and services it produces.
 
 The new GDP figure, announced by the Commerce Department on Friday, also topped the 3.5% growth rate that economists had forecast ahead of Friday's announcement. Growth was at an annual rate of 4% in the third quarter of 2004 and for the year it came in at 4.4%, the best figure in five years. However, the positive economic climate may lead to a rise in interest rates, with many expecting US rates to rise on 22 March. In the January-to-March quarter, the economy is expected to grow at an annual rate of about 4%, economists forecast. In the final quarter of 2004, businesses increased spending on capital equipment and software by 18%, up from 17.5% in the third quarter. Consumer spending grew 4.2% in the final quarter, down from the third quarter's 5.1%.
",4
2211,"Economy 'strong' in election year
 
 UK businesses are set to prosper during the next few months - but this could trigger more interest rate rises, according to a report.
 
 Optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending, say researchers at BDO Stoy Hayward. The Bank of England is expected to keep rates on hold this week - but they could go up later in the year. Rates are likely to rise after the anticipated general election in May. The BDO optimism index - a leading indicator of GDP growth two quarters ahead edged up in January to 102.5, from 102.2 in October. The rise is due, in part, to an increase in public spending and increased merger and acquisition activity.
 
 The only thing blighting business optimism this year will be uncertainties associated with the general election, BDO said. Its BDO's output index - which predicts GDP movements a quarter in advance - remained at 100.8 for January, implying GDP growth at 2.9% in the second quarter of 2005. However, the output index is being held back by recent interest rate rises, sterling's strength against the dollar and high oil prices, the group noted. Its inflation index, which has risen continuously over the last 8 months, climbed to 110.0 in January from 108.0 in October last year. ""The UK is looking strong going into the general election, but businesses need to prepare themselves for a jolt ahead as the Bank of England reacts to growth and inflationary pressures,"" said Peter Hemington, partner at BDO Stoy Hayward. ""Growth will probably slow by the end of 2005 and it is likely that we will see higher interest rates or a sharp drop in demand for products and services.""
",4
1148,"Microsoft releases bumper patches
 
 Microsoft has warned PC users to update their systems with the latest security fixes for flaws in Windows programs.
 
 In its monthly security bulletin, it flagged up eight ""critical"" security holes which could leave PCs open to attack if left unpatched. The number of holes considered ""critical"" is more than usual. They affect Windows programs, including Internet Explorer (IE), media player and instant messaging. Four other important fixes were also released. These were considered to be less critical, however. If not updated, either automatically or manually, PC users running the programs could be vulnerable to viruses or other malicious attacks designed to exploit the holes. Many of the flaws could be used by virus writers to take over computers remotely, install programs, change, and delete or see data.
 
 One of the critical patches Microsoft has made available is an important one that fixes some IE flaws. Stephen Toulouse, a Microsoft security manager, said the flaws were known about, and although the firm had not seen any attacks exploiting the flaw, he did not rule them out. Often, when a critical flaw is announced, spates of viruses follow because home users and businesses leave the flaw unpatched. A further patch fixes a hole in Media Player, Windows Messenger and MSN Messenger which an attacker could use to take control of unprotected machines through .png files. Microsoft announces any vulnerabilities in its software every month. The most important ones are those which are classed as ""critical"". Its latest releases came the week that the company announced it was to buy security software maker Sybari Software as part of Microsoft's plans to make its own security programs.
",2
15,"Brown targets OAPs and homebuyers
 
 Gordon Brown has doubled the level at which house buyers pay stamp duty to Â£120,000 as he put the economy at the heart of Labour's election campaign.
 
 The chancellor also unveiled a one-off Â£200 council tax refund for pensioners and a rise in child tax credit. Mr Brown put 1p a pint on beer, 4p on a bottle of wine and 7p on 20 cigarettes but froze petrol duty until September. The Tories called it a ""vote now, pay later"" Budget. The Lib Dems branded it a ""sticking plaster"" for the election.
 
 Tory leader Michael Howard predicted the Budget would do nothing to help Labour's ""faltering"" election campaign.
 
 ""This government and this chancellor have run out of solutions to the problems Britain faces,"" Mr Howard told MPs. ""Their only answer is to tax, to spend and to waste - to get people to vote now and pay later."" He ended his response with an election challenge to Labour, saying ""bring it on"". Liberal Democrat leader Charles Kennedy attacked Mr Brown for failing to mention the environment and for his record on social justice. ""How can it be right in Britain today that the poorest 20% pay more in tax, as a proportion of their income, than the richest 20%?"" he asked.
 
 Mr Kennedy criticised Mr Brown for failing to mention the ""ticking bomb"" of council tax revaluation, saying it was ""high time"" the system was replaced by a ""local tax based on the ability to pay"". During his 49 minute speech Mr Brown told MPs he had defied the pundits by hitting his growth target of 3.1% for 2004.
 
 He said his Budget struck a balance ""between tax cuts that are affordable, investments that are essential and stability that is paramount"". He rejected across-the-board tax cuts in favour of targeted help for families. The child tax credit will rise in line with earnings, giving families an extra Â£5 a week. In contrast, the personal income tax allowance will rise only in line with inflation from Â£4,745 to Â£4,895 next month. Mr Brown told MPs child benefit would rise to a maximum of Â£63 a week for the first child and Â£111 for two children. Despite his giveaways, Budget documents show Mr Brown clawed back Â£265m through a clampdown on tax avoidance and increased revenue from a windfall tax on oil companies. He also scrapped stamp duty relief for commercial property in disadvantaged areas - a measure brought in just over three years ago. BBC political editor Andrew Marr suggested the sweeteners were not big enough to have a transforming effect on voters. But trust in Mr Brown's economic stewardship would be a central election issue, he said.
 
 Mr Brown also unveiled plans for a memorial to the Queen Mother, funded through a special coin to celebrate the Queen's 80th birthday. Other measures include equal tax status for same-sex couples and a deal with the Council of Mortgage Lenders to boost low cost home ownership. The level where people start paying inheritance tax will also rise from Â£263,000 to Â£275,000 from April. Mr Brown said he had met his financial ""golden rule"" with a Â£6bn surplus and he said public borrowing would continue to fall over the next five years.
 
 The economy had grown for 50 consecutive quarters, he said, and was forecast to continue doing so over the next year, with a forecast of 3% to 3.5% in 2005 and 2.5% to 3% in 2006. The first Â£2bn of value-for-money savings identified in the Gershon Review have been achieved, the chancellor said. Some 12,500 civil servant posts have been axed, and 7,800 relocated out of the south east of England, he added. SNP leader Alex Salmond said Mr Brown had failed the ""tartan test"" as there were no measures to boost the Scottish economy. Simon Thomas, of Plaid Cymru, called it a budget for Middle England. UK Independence Party leader Roger Knapman attacked the plans for pensioners saying they needed ""more money and the dignity of being allowed to spend it how they want,"" not ""free bus rides"". The Green Party said the Budget was a ""wasted opportunity"" for environmental protection, adding: ""Brown obviously has an eye on the coming election, and has taken his eye off the needs of the planet.""
",0
795,"Henin-Hardenne beaten on comeback
 
 Justine Henin-Hardenne lost to Elena Dementieva in a comeback exhibition match in Belgium on Sunday for her second defeat in two days.
 
 And the Belgian, who has slipped to eight in the world after struggling with a virus, faces a tough Australian Open title defence next month. ""I will be heading to Australia with a lot of question marks over me, I know that,"" she said. ""But I think there'll be less pressure than last time even if I am champion."" Henin-Hardenne was speaking after a 6-2 5-7 6-2 loss to world number six Dementieva in Charleroi, Belgium, on Sunday. The previous day, the Olympic champion went down 6-2 7-5 to France's Nathalie Dechy.
 
 ""I have to be positive, I still have a few weeks,"" she said. ""My body has to get accustomed again to the stress, the rhythm."" Henin-Hardenne slid down the world rankings in the second half of 2004 after contracting the illness in April. After an initial lay-off, she was forced off the circuit for a second time after being knocked out of the French Open in the second round. A comeback at the US Open after a three-month absence ended when she crashed out at the fourth-round stage. But despite her problems, she still won five of the nine official tournaments she entered in 2004 and won Olympic gold in Athens, an achievement which saw her named Belgian sportswoman of the year on Friday. ""Physically, it's obvious that I hit rock bottom,"" said the 22-year-old, who will make her comeback in the Sydney International from 10-16 January. ""Since April, with the exception of the Olympics, I have not done much. ""All the successes I had prior to that were mainly due to the work I put in on building up my fitness. ""Now it's time to get back to putting in 200% effort and I think I am capable of doing that.""
",1
557,"Wilkinson to lead England
 
 Fly-half Jonny Wilkinson has been named as England's new rugby union captain for the three November Tests.
 
 The 25-year-old Newcastle star takes over from Lawrence Dallaglio, who retired from internationals in August. England's acting head coach Andy Robinson said: ""He is a natural leader, holds the respect of the squad and is a formidable talent on the pitch. ""And he consistently demonstrates the energy and commitment I feel is essential to be captain of England."" Robinson added: ""There are several players in the squad I would feel comfortable in calling upon to be England captain but for me Jonny is in every way the right player to take on this challenge. ""Captaincy offers a challenging environment for any player, especially following in the footsteps of Lawrence Dallaglio and before him the World Cup captain, Martin Johnson.
 
 ""But I am confident Jonny has what it takes to do an outstanding job as we look ahead towards the next Rugby World Cup in France and I look forward to working with him."" Wilkinson, who has scored 817 points in 52 internationals, kicked the winning drop-goal in the final seconds of extra-time in England's 2003 Rugby World Cup triumph against Australia. But he then missed the entire 2004 Six Nations campaign while recuperating from shoulder surgery, before making his comeback for Newcastle in the Zurich Premiership in August. ""It's the ambition of so many players to one day be captain of England and today I have realised a dream,"" he said. ""I'm honoured Andy wants me to be his captain, and to follow Lawrence and Martin means a lot to me as they are inspirational men who have given so much to England rugby over many years.
 
 ""Getting my first England cap against Ireland six years ago was something I'll never forget because to play for your country is very special. Taking on the captaincy is another important step in my career and I do so with immense pride."" Wilkinson made his international debut in the 1998 Six Nations Championship against Ireland when he came off the bench to replace Paul Grayson.
 
 He has been a regular in the England starting line-up ever since, played in all three Lions Tests in 2001 and all but one of England's games in the 2003 World Cup. He becomes the 117th captain of England since Fred Stokes held the position in 1871. England's first autumn Test is against Canada on 13 November, followed by the visit of Tri-Nations champions South Africa a week later and then a World Cup re-match with Australia.
",1
2068,"Burren awarded Egyptian contracts
 
 British energy firm Burren Energy has been awarded two potentially lucrative oil exploration contracts in Egypt.
 
 The company successfully bid for the two contracts, granted by government owned oil firms, covering onshore and offshore areas in the Gulf of Suez. Burren Energy already has a presence in Egypt, having been awarded an exploration contract last year. The firm, which floated in 2003, recently announced a deal to buy 26% of Indian firm Hindustan Oil Exploration. The Â£13.8m deal gives Burren Energy access to the Indian oil and gas industry. This latest contract expands Burren Energy's global exploration and production portfolio - it also holds contracts in Turkmenistan and the Republic of Congo. ""These assets significantly increase our exploration portfolio in Egypt and we continue to investigate further opportunities in this region,"" said chief executive Finian O'Sullivan.
",4
